titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: CVPR_1994_10_abs (by l),196.0,32.0,38.0,19.0,13.0,6.0,18.0,12.0,3.45309575398763e-06,1.3709491729736327,1.5313570261001588,0.8817960898081462,0.36127419074376427,1.0242822686831157,0.0002011418342590332,5.169863343238831
Title: P83-1004 (by l),76.0,20.0,23.0,13.0,9.0,4.0,11.0,9.0,3.743171691894531e-06,0.7684573292732239,1.0093061089515687,0.5068789641062419,0.18425970872243244,0.6968074321746827,0.00013205210367838542,3.16584533850352
Title: C90-3045 (by l),132.0,28.0,34.0,15.0,10.0,5.0,13.0,8.0,3.353754679361979e-06,0.9490898569424947,1.3814082066218059,0.6066612839698792,0.2336155335108439,1.1512436111768087,0.00019042491912841798,4.32221227089564
Title: CVPR_1993_10_abs (by l),162.0,48.0,52.0,31.0,14.0,17.0,32.0,14.0,4.1604042053222655e-06,1.463649002710978,2.5673251787821454,0.7785463889439901,0.6872317989667257,1.5896692991256713,0.000274352232615153,7.086700181166331
Title: ICML_2016_18_abs (by l),176.0,40.0,44.0,38.0,14.0,24.0,22.0,5.0,3.60409418741862e-06,1.2756135861078899,2.0483813444773356,0.6912556529045105,0.7265176733334859,1.3248430411020915,0.0002516508102416992,6.066866552829742
Title: I05-4010 (by l),113.0,31.0,35.0,11.0,7.0,4.0,21.0,17.0,3.751118977864583e-06,0.9360363642374675,1.4749354640642802,0.662949554125468,0.3553264856338501,1.103191876411438,0.00018649498621622722,4.532629990577698
Title: ICCV_2013_47_abs (by l),182.0,51.0,55.0,36.0,20.0,16.0,29.0,20.0,3.5444895426432293e-06,1.5203588406244914,2.7668808778127034,0.7224242448806762,1.144090473651886,1.528066106637319,0.0002911210060119629,7.682115209102631
Title: H05-1095 (by l),98.0,23.0,27.0,18.0,11.0,7.0,9.0,6.0,3.5365422566731772e-06,0.9571744759877523,1.14084179798762,0.468936284383138,0.1815011739730835,0.945171038309733,0.00015220244725545247,3.693780509630839
Title: A97-1020 (by l),94.0,23.0,26.0,10.0,6.0,4.0,16.0,13.0,3.421306610107422e-06,0.9953981916109721,1.0557898203531901,0.3871945897738139,0.1794351577758789,0.6426855564117432,0.00013556480407714844,3.2606423020362856
Title: N03-1033 (by l),105.0,18.0,18.0,4.0,2.0,2.0,14.0,12.0,3.337860107421875e-06,0.6545552293459574,0.8532561898231507,0.4525976856549581,0.10715240637461344,0.45255376895268756,0.00010369221369425456,2.520222310225169
Title: ECCV_2016_212_abs (by l),271.0,53.0,61.0,48.0,31.0,17.0,21.0,10.0,3.4928321838378907e-06,1.7311066428820292,2.8132747729619343,1.1603902022043864,1.0474030256271363,1.7372759501139323,0.0003326535224914551,8.489786740144094
Title: ICASSP_1997_706_abs (by l),168.0,37.0,42.0,13.0,9.0,4.0,25.0,20.0,3.548463185628255e-06,1.1483859300613404,2.0295722524325055,0.5530718445777894,0.3755005240440369,1.0695300658543905,0.00020953019460042319,5.176273695627848
Title: INTERSPEECH_2008_28_abs (by l),180.0,40.0,42.0,15.0,13.0,2.0,24.0,22.0,3.731250762939453e-06,1.4806108713150024,2.0852047324180605,0.6209805289904277,0.679841673374176,1.1925629337628683,0.00022461414337158204,6.059429085254669
Title: ECCV_2016_110_abs (by l),60.0,22.0,22.0,16.0,8.0,8.0,11.0,5.0,3.516674041748047e-06,0.6838412682215372,0.8595702608426412,0.37600568930308026,0.1797166347503662,0.9381950338681538,0.00013738075892130535,3.0374697844187417
Title: CVPR_2008_258_abs (by l),148.0,43.0,47.0,32.0,14.0,18.0,26.0,14.0,3.353754679361979e-06,1.1949336528778076,2.205014924208323,0.5738057494163513,0.681031600634257,1.4814311345418294,0.00026077826817830403,6.136481193701426
Title: C08-2010 (by l),109.0,41.0,43.0,35.0,13.0,22.0,27.0,12.0,3.4928321838378907e-06,1.1491888642311097,1.6803522825241088,0.6880526423454285,0.6351994434992473,1.285301649570465,0.00023279984792073566,5.438331174850464
Title: E93-1066 (by l),149.0,52.0,54.0,21.0,20.0,1.0,34.0,33.0,3.4809112548828124e-06,1.3441914717356365,2.7470111290613812,0.9600465814272563,1.126284372806549,1.250502920150757,0.0002741694450378418,7.428314125537872
Title: INTERSPEECH_2014_40_abs (by l),130.0,35.0,40.0,24.0,11.0,13.0,20.0,11.0,3.619988759358724e-06,1.1138782898585002,1.6630511045455934,0.4987314303716024,0.3742485801378886,1.2483508348464967,0.00021351178487141926,4.898477371533712
Title: CVPR_2010_30_abs (by l),153.0,28.0,35.0,20.0,7.0,13.0,17.0,12.0,3.532568613688151e-06,1.0238632520039876,1.6218530058860778,0.5762551029523214,0.19445877869923908,0.9316457271575928,0.00017458995183308919,4.348253989219666
Title: CVPR_2004_30_abs (by l),122.0,35.0,38.0,29.0,12.0,17.0,17.0,11.0,3.4332275390625e-06,1.091207222143809,1.6114225705464682,0.7877451817194621,0.3531043847401937,1.1881943623224893,0.00021040836970011393,5.031887563069661
Title: INTERSPEECH_2007_40_abs (by l),109.0,29.0,31.0,14.0,9.0,5.0,17.0,13.0,3.548463185628255e-06,0.8207030693689982,1.3087707122166952,0.5203898270924886,0.21285953521728515,0.9878655234972636,0.00017348925272623697,3.8507657051086426
Title: CVPR_2003_30_abs (by l),93.0,32.0,38.0,25.0,12.0,13.0,17.0,6.0,3.711382548014323e-06,1.0413763880729676,1.7055249134699504,0.47332693735758463,0.34913246234258016,1.343911643822988,0.0002135594685872396,4.9134896159172055
Title: NIPS_2016_80_abs (by l),95.0,24.0,25.0,38.0,6.0,32.0,15.0,3.0,3.3934911092122394e-06,0.8457412958145142,1.0052576541900635,0.3804215669631958,0.19862351417541504,0.7448619604110718,0.00015735228856404623,3.1750667373339336
Mean,134.14,32.83,36.59,21.68,10.82,10.86,19.44,11.92,5.29170036315918e-06,1.0546733992497126,1.5978979464769365,0.5926734181245168,0.42767723393440243,1.0869374066988629,0.0002082991202672323,4.7600729953050624
STD,134.14,32.83,36.59,21.68,10.82,10.86,19.44,11.92,5.29170036315918e-06,1.0546733992497126,1.5978979464769365,0.5926734181245168,0.42767723393440243,1.0869374066988629,0.0002082991202672323,4.7600729953050624
